rn,B6_x_cast_1xE3_5_bla_1,B6_x_cast_1xE3_5_bla_2,B6_x_cast_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_1,cast_x_B6_1xE3_5_bla_2,cast_x_B6_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_5,cast_x_B6_1xE3_5_bla_7
Sec23a,353,349,351,701,465,385,468,304
Gemin2,812,546,988,449,1549,788,631,641
Trappc6b,665,485,865,417,505,748,556,493
Pnn,2331,1135,1419,1096,1249,1371,1715,962
Ctage5,659,314,399,386,368,323,360,294
Fbxo33,181,290,201,446,138,134,236,80
Klhl28,117,131,111,199,114,66,97,23
Fam179b,265,164,204,470,158,102,203,90
Prpf39,695,327,330,632,425,378,386,247
Fkbp3,10343,7386,11403,3983,10632,17369,9378,7551
Fancm,2285,1757,2201,3695,2599,2257,3150,1759
Mis18bp1,1858,1027,1429,1582,881,1621,941,934
Rpl10l,732,501,239,412,926,994,721,386
Mdga2,0,1,2,2,2,3,7,0
Rps29,1317,779,757,1398,1163,828,872,703
Lrr1,3627,3202,6412,1482,1484,8820,4182,3960
Rpl36al,4611,3000,3406,2988,3534,3331,3829,2559
Mgat2,1160,547,1181,945,1302,980,1003,818
Dnaaf2,1004,677,1264,389,785,1253,943,821
9330151L19Rik,2,3,3,66,19,1,15,15
Pole2,608,192,379,523,597,364,670,312
Klhdc1,86,50,23,94,91,57,37,48
Klhdc2,627,283,619,500,795,741,509,533
Nemf,5566,2635,3033,1684,2430,2980,2326,1798
Arf6,1083,951,1183,669,1025,878,939,634
Vcpkmt,163,102,125,0,111,86,131,102
Sos2,103,123,135,137,226,59,65,65
L2hgdh,168,132,234,119,162,113,157,67
Atp5s,326,295,327,200,320,254,236,232
Cdkl1,0,4,44,65,0,14,7,48
4930512B01Rik,17,19,40,10,9,25,60,20
Map4k5,404,312,244,596,321,300,224,200
4931403G20Rik,26,4,5,67,5,0,5,16
Atl1,37,48,4,3,65,27,21,4
Gm3086,0,0,0,15,0,0,0,0
Sav1,68,49,41,184,70,36,41,8
Nin,65,62,114,121,150,60,220,83
Pygl,92,20,80,5,46,127,25,85
Tmx1,200,145,219,205,202,421,338,94
Frmd6,71,82,32,28,210,67,74,49
Actr10,840,668,1012,757,812,1926,924,923
Psma3,1602,970,1709,1022,1682,2953,1652,1356
3110056K07Rik,69,63,35,45,30,42,26,25
Arid4a,978,486,617,249,900,463,327,432
Tomm20l,7,0,0,1,8,0,1,1
Timm9,1231,1064,1083,1051,1366,1403,1326,1005
2700049A03Rik,397,320,298,479,341,243,363,304
Daam1,1060,672,632,640,659,526,794,667
L3hypdh,22,19,14,27,84,31,87,65
Jkamp,1243,748,791,1671,1511,1728,1177,808
Rtn1,793,386,192,55,205,230,109,309
Pcnx4,148,48,127,23,221,89,87,25
Dhrs7,1234,852,897,1075,3018,3678,1696,3015
Ppm1a,2613,1510,2238,1403,2190,1725,2622,2038
4930447C04Rik,20,7,49,290,75,34,34,4
Six1,38,47,24,68,12,22,66,9
Six4,40,75,10,40,58,20,36,4
Mnat1,1246,848,1096,350,972,1026,768,693
Trmt5,417,402,341,522,514,421,533,349
Slc38a6,261,223,130,520,367,146,147,210
Tmem30b,36,55,165,32,96,65,71,68
Prkch,300,181,172,1,16,44,62,17
Snapc1,233,265,206,302,207,258,296,149
Ppp2r5e,319,292,189,473,237,149,320,142
Wdr89,195,180,191,425,379,290,309,253
Sgpp1,1014,844,975,1566,830,668,986,727
Syne2,260,185,319,265,548,87,413,447
Esr2,0,0,0,0,0,0,8,0
Tex21,38,31,26,77,93,12,13,3
Mthfd1,2768,2266,2380,2954,5109,2161,2311,2147
Akap5,17,18,24,106,73,37,34,27
Zbtb25,93,161,122,297,29,97,161,69
